Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),Unnamed: 13,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated,Vaccination_ID
16-01-2021,India,48276,3455,2957,48276,0,,,,579,47697,,,23757,24517,2,48276,India_16-01-2021
17-01-2021,India,58604,8532,4954,58604,0,,,,635,57969,,,27348,31252,4,58604,India_17-01-2021
18-01-2021,India,99449,13611,6583,99449,0,,,,1299,98150,,,41361,58083,5,99449,India_18-01-2021
19-01-2021,India,195525,17855,7951,195525,0,,,,3017,192508,,,81901,113613,11,195525,India_19-01-2021
20-01-2021,India,251280,25472,10504,251280,0,,,,3946,247334,,,98111,153145,24,251280,India_20-01-2021
21-01-2021,India,365965,32226,12600,365965,0,,,,5367,360598,,,132784,233143,38,365965,India_21-01-2021
22-01-2021,India,549381,36988,14115,549381,0,,,,8128,541253,,,193899,355402,80,549381,India_22-01-2021
23-01-2021,India,759008,43076,15605,759008,0,,,,11192,747816,,,267856,491049,103,759008,India_23-01-2021
24-01-2021,India,835058,49851,18111,835058,0,,,,13156,821902,,,296283,538647,128,835058,India_24-01-2021
25-01-2021,India,1277104,55151,19682,1277104,0,,,,18858,1258246,,,444137,832766,201,1277104,India_25-01-2021
26-01-2021,India,1293784,60821,21467,1293784,0,,,,19604,1274180,,,449119,844448,217,1293784,India_26-01-2021
27-01-2021,India,1726490,69495,23737,1726490,0,,,,27377,1699113,,,586081,1140137,272,1726490,India_27-01-2021
28-01-2021,India,2295491,78523,25610,2295491,0,,,,36921,2258570,,,771229,1523939,323,2295491,India_28-01-2021
29-01-2021,India,2814803,83664,26219,2814803,0,,,,43604,2771199,,,939069,1875368,366,2814803,India_29-01-2021
30-01-2021,India,3067736,87822,26643,3067736,0,,,,48300,3019436,,,1022380,2044950,406,3067736,India_30-01-2021
31-01-2021,India,3127107,91593,27011,3127107,0,,,,58890,3068217,,,1061307,2065391,409,3127107,India_31-01-2021
01-02-2021,India,3350265,97432,27751,3350265,0,,,,69372,3280893,,,1152344,2197431,490,3350265,India_01-02-2021
02-02-2021,India,3527971,106461,29522,3527971,0,,,,76794,3451177,,,1218507,2308898,566,3527971,India_02-02-2021
03-02-2021,India,3825835,116568,31167,3825835,0,,,,86001,3739834,,,1324273,2500887,675,3825835,India_03-02-2021
04-02-2021,India,4314304,126714,32505,4314304,0,,,,99015,4215289,,,1504527,2809042,735,4314304,India_04-02-2021
05-02-2021,India,4765924,137110,33947,4765924,0,,,,133911,4632013,,,1710466,3054631,827,4765924,India_05-02-2021
06-02-2021,India,5111827,145121,34814,5111827,0,,,,195504,4916323,,,1896705,3214244,878,5111827,India_06-02-2021
07-02-2021,India,5168099,153231,35778,5168099,0,,,,206130,4961969,,,1928947,3238273,879,5168099,India_07-02-2021
08-02-2021,India,5615499,164116,36740,5615499,0,,,,290785,5324714,,,2211020,3403576,903,5615499,India_08-02-2021
09-02-2021,India,6002474,175556,38131,6002474,0,,,,363692,5638782,,,2458329,3543208,937,6002474,India_09-02-2021
10-02-2021,India,6462270,187224,39339,6462270,0,,,,480760,5981510,,,2785194,3676114,962,6462270,India_10-02-2021
11-02-2021,India,6958553,197650,40332,6958553,0,,,,609108,6349445,,,3153649,3803908,996,6958553,India_11-02-2021
12-02-2021,India,7423817,207633,40799,7423817,0,,,,740517,6683300,,,3504429,3918381,1007,7423817,India_12-02-2021
13-02-2021,India,7708211,216559,41308,7687352,20859,,,,781304,6906048,,,3684053,4002279,1020,7687352,India_13-02-2021
14-02-2021,India,7732278,223423,41606,7710367,21911,,,,786042,6924325,,,3699535,4009812,1020,7710367,India_14-02-2021
15-02-2021,India,8253651,233527,42016,8111162,142489,,,,825093,7286069,,,3925723,4184377,1062,8111162,India_15-02-2021
16-02-2021,India,8577226,245131,42859,8337600,239626,,,,841412,7496188,,,4044967,4291548,1085,8337600,India_16-02-2021
17-02-2021,India,9023239,256706,43310,8704698,318541,,,,894555,7810143,,,4271486,4432078,1134,8704698,India_17-02-2021
18-02-2021,India,9338267,268275,43734,8862491,475776,,,,962251,7900240,,,4509554,4351815,1122,8862491,India_18-02-2021
19-02-2021,India,10241508,279055,44167,9523567,717941,,,,1003518,8520049,,,4820055,4702310,1202,9523567,India_19-02-2021
20-02-2021,India,10619113,288334,44791,9734505,884608,,,,1033170,8701335,,,4966750,4766532,1223,9734505,India_20-02-2021
21-02-2021,India,10651012,299726,45120,9757217,893795,,,,1037565,8719652,,,4982068,4773924,1225,9757217,India_21-02-2021
22-02-2021,India,11243679,312382,45490,10069263,1174416,,,,1085940,8983323,,,5226538,4841511,1214,10069263,India_22-02-2021
23-02-2021,India,11597768,325527,46054,10288293,1309475,,,,1120345,9167948,,,5389434,4897627,1232,10288293,India_23-02-2021
24-02-2021,India,12042958,339617,46671,10517568,1525390,,,,1156820,9360748,,,5558978,4957351,1239,10517568,India_24-02-2021
25-02-2021,India,12819074,352882,47068,10846192,1972882,,,,1204424,9641768,,,5799474,5045426,1292,10846192,India_25-02-2021
26-02-2021,India,13560932,357440,47240,11141375,2419557,,,,1244235,9897140,,,6008758,5131299,1318,11141375,India_26-02-2021
27-02-2021,India,13560983,357450,47242,11141426,2419557,,,,1244235,9897191,,,6008785,5131323,1318,11141426,India_27-02-2021
28-02-2021,India,13561208,367595,48032,11141651,2419557,,,,1244273,9897378,,,6008960,5131373,1318,11141651,India_28-02-2021
01-03-2021,India,13561208,401961,50243,11141651,2419557,,,,1244273,9897378,,,6008960,5131373,1318,11141651,India_01-03-2021
02-03-2021,India,14533954,448977,51350,11886320,2647634,,,,1277711,10608609,,,6462436,5422470,1414,11886320,India_02-03-2021
03-03-2021,India,15383883,533253,54700,12553326,2830557,,,,1307164,11246162,,,6859318,5692550,1458,12553326,India_03-03-2021
04-03-2021,India,16535703,613748,57418,13393538,3142165,,,,1345443,12048095,,,7346850,6045211,1477,13393538,India_04-03-2021
05-03-2021,India,17871673,714806,59064,14415912,3455761,,,,1386898,13029014,,,7924084,6490255,1573,14415912,India_05-03-2021
06-03-2021,India,19170828,802800,60930,15438495,3732333,,,,1434272,14004223,,,8488627,6948195,1673,15438495,India_06-03-2021
07-03-2021,India,19288666,862720,63187,15541529,3747137,,,,1440857,14100672,,,8545982,6993867,1680,15541529,India_07-03-2021
08-03-2021,India,21038500,923939,64854,16976138,4062362,,,,1495593,15480545,,,9298005,7676312,1821,16976138,India_08-03-2021
09-03-2021,India,18360243,3632230,22562,14003206,4357037,,,,1619279,16739804,,,10044921,8313353,1967,18360243,India_09-03-2021
10-03-2021,India,19538547,3712590,22885,14872785,4665762,,,,1727948,17809439,,,10707385,8829091,2069,19538547,India_10-03-2021
11-03-2021,India,19953987,2074307,13920,15204375,4749612,,,,1755220,18197567,,,10937930,9013952,2103,19953987,India_11-03-2021
12-03-2021,India,21772159,5428928,34489,16612019,5160140,,,,1910640,19860313,,,11974143,9795767,2247,21772159,India_12-03-2021
13-03-2021,India,23159604,4500722,27403,17698742,5460862,,,,2010101,21148292,,,12747867,10409393,2342,23159604,India_13-03-2021
14-03-2021,India,23317750,935045,6063,17837716,5480034,,,,2017875,21298664,,,12832126,10483269,2353,23317750,India_14-03-2021
15-03-2021,India,25618250,6451678,40180,19766466,5851784,,,,2183445,23433592,,,14090723,11524956,2569,25618250,India_15-03-2021
16-03-2021,India,31870745,5366679,33886,25709257,6161488,,,,2557019,29313725,,,13993527,11713149,2581,25709257,India_16-03-2021
17-03-2021,India,36496020,5183313,31807,30011328,6484692,,,,2875235,33620784,,,16266085,13742026,3217,30011328,India_17-03-2021
18-03-2021,India,38770404,5880856,38208,31952935,6817469,,,,3111700,35658703,,,17311577,14637915,3443,31952935,India_18-03-2021
19-03-2021,India,41309219,6385874,41625,34228371,7080848,,,,3332178,37977040,,,18492473,15732206,3692,34228371,India_19-03-2021
20-03-2021,India,43877868,6470646,42178,36568988,7308880,,,,3617184,40260683,,,19688923,16876137,3928,36568988,India_20-03-2021
21-03-2021,India,44645372,1919521,13892,37303458,7341914,,,,3711319,40934052,,,20053560,17245870,4028,37303458,India_21-03-2021
22-03-2021,India,47204633,7458801,49877,39612614,7592019,,,,4025733,43178899,,,21244939,18363361,4314,39612614,India_22-03-2021
23-03-2021,India,49973152,6325666,42614,42148875,7824277,,,,4418254,45554897,,,22532413,19611896,4566,42148875,India_23-03-2021
24-03-2021,India,52216237,6309312,42607,44250191,7966046,,,,4755913,47460323,,,23602891,20642500,4800,44250191,India_24-03-2021
25-03-2021,India,54589220,6810937,46395,46454700,8134520,,,,5065307,49523912,,,24744845,21704739,5116,46454700,India_25-03-2021
26-03-2021,India,57021164,7290723,49904,48749313,8271851,,,,5363425,51657738,,,25911744,22832194,5375,48749313,India_26-03-2021
27-03-2021,India,59235436,6515557,44549,50865316,8370120,,,,5581810,53653625,,,26976551,23883153,5612,50865316,India_27-03-2021
28-03-2021,India,59557120,2724106,18876,51179587,8377533,,,,5600420,53956699,,,27137004,24036939,5644,51179587,India_28-03-2021
29-03-2021,India,60183064,3614098,24773,51774289,8408775,,,,5673246,54509817,,,27427546,24341025,5718,51774289,India_29-03-2021
30-03-2021,India,61990242,6935955,45244,53429356,8560886,,,,5820234,56170007,,,28257441,25165987,5928,53429356,India_30-03-2021
31-03-2021,India,63935590,7622285,48959,55188803,8746787,,,,5979191,57956398,,,29151242,26031409,6152,55188803,India_31-03-2021
01-04-2021,India,66361722,8582019,56390,57443466,8918256,,,,6164245,60197476,,,30321468,27115615,6383,57443466,India_01-04-2021
02-04-2021,India,70090836,7771995,50714,60936753,9154083,,,,6415647,63675188,,,32126426,28803529,6798,60936753,India_02-04-2021
03-04-2021,India,73112119,8028771,53749,63743700,9368419,,,,6619593,66492525,,,33577406,30159173,7121,63743700,India_03-04-2021
04-04-2021,India,76405697,6779834,43542,66838504,9567193,,,,6880699,69524997,,,35165269,31665721,7514,66838504,India_04-04-2021
05-04-2021,India,79439889,9947093,64960,69620234,9819655,,,,7162657,72277231,,,36559511,33052869,7854,69620234,India_05-04-2021
06-04-2021,India,82065337,9341151,61096,72035640,10029697,,,,7419434,74645902,,,37772299,34255180,8161,72035640,India_06-04-2021
07-04-2021,India,87100627,8870978,58826,76671812,10428815,,,,7832533,79268093,,,40110598,36552499,8715,76671812,India_07-04-2021
08-04-2021,India,91881530,9913258,65506,80998099,10883431,,,,8167587,83713942,,,42273620,38715200,9279,80998099,India_08-04-2021
09-04-2021,India,95583419,9969009,65714,84296847,11286572,,,,8425992,87157426,,,43929844,40357259,9744,84296847,India_09-04-2021
10-04-2021,India,99069354,8710763,58594,87411872,11657482,,,,8678151,90391202,,,45508111,41893575,10186,87411872,India_10-04-2021
11-04-2021,India,102000401,9729980,63648,90111528,11888873,,,,8865852,93134548,,,46895781,43205152,10595,90111528,India_11-04-2021
12-04-2021,India,105970539,10664088,71554,93559587,12410952,,,,9117558,96852980,,,48669828,44878560,11199,93559587,India_12-04-2021
13-04-2021,India,108598289,10046908,67834,95823614,12774675,,,,9279181,99319107,,,49885738,45926378,11498,95823614,India_13-04-2021
14-04-2021,India,111913288,10786962,69832,98703696,13209592,,,,9632303,102280984,,,51361929,47329847,11920,98703696,India_14-04-2021
15-04-2021,India,114598026,9771019,66284,100853671,13744355,,,,9850203,104747822,,,52488916,48352489,12266,100853671,India_15-04-2021
16-04-2021,India,117305344,9780485,66381,102927296,14378048,,,,10178643,107126700,,,53575244,49339504,12548,102927296,India_16-04-2021
17-04-2021,India,119971369,8521217,60057,104950409,15020960,,,,10555424,109415944,,,54647827,50289664,12918,104950409,India_17-04-2021
18-04-2021,India,121207098,8395934,58212,105896430,15310668,,,,10711610,110495487,,,55151208,50732172,13050,105896430,India_18-04-2021
19-04-2021,India,124457162,10632658,73506,108178574,16278588,,,,11106751,113350410,,,56358692,51806475,13407,108178574,India_19-04-2021
20-04-2021,India,127428887,10163007,71051,110165234,17263653,,,,11515707,115913179,,,57420010,52731510,13714,110165234,India_20-04-2021
21-04-2021,India,129646105,9537781,67123,111673361,17972744,,,,11799916,117846188,,,58217380,53441979,14002,111673361,India_21-04-2021
22-04-2021,India,132754608,10459336,73933,113584269,19170339,,,,12176768,120577839,,,59214377,54355513,14379,113584269,India_22-04-2021
23-04-2021,India,135658324,9772224,68575,115461202,20197122,,,,12507127,123151196,,,60208977,55237448,14777,115461202,India_23-04-2021
24-04-2021,India,138185956,8300170,59612,117105343,21080613,,,,12775153,125410802,,,61078797,56011474,15072,117105343,India_24-04-2021
25-04-2021,India,139185173,5844983,41927,117795008,21390165,,,,12866845,126318327,,,61442119,56337692,15197,117795008,India_25-04-2021
26-04-2021,India,142524947,9725885,68905,119886252,22638695,,,,13127022,129397924,,,62534884,57335805,15563,119886252,India_26-04-2021
27-04-2021,India,144879233,9192384,65370,121263287,23615946,,,,13362545,131516688,,,63266613,57980903,15771,121263287,India_27-04-2021
28-04-2021,India,147053392,8123540,57439,122538179,24515213,,,,13636237,133417155,,,63938524,58583701,15954,122538179,India_28-04-2021
29-04-2021,India,149268772,8593203,61628,123811908,25456864,,,,13926050,135342722,,,64611787,59183960,16161,123811908,India_29-04-2021
30-04-2021,India,151998107,8996730,64042,125376952,26621155,,,,14178643,137819464,,,65445771,59914751,16430,125376952,India_30-04-2021
01-05-2021,India,153626325,8022399,56966,126328970,27297355,,,,14369918,139256407,,,65972485,60339903,16582,126328970,India_01-05-2021
02-05-2021,India,154211511,5396932,38359,126704151,27507360,,,,14417017,139794494,,,66183753,60503747,16651,126704151,India_02-05-2021
03-05-2021,India,156082136,8814219,61196,127696675,28385461,,,,14654260,141427876,,,66737774,60942039,16862,127696675,India_03-05-2021
04-05-2021,India,157750752,8034995,55739,128627919,29122833,,,,14892657,142858095,,,67265833,61344881,17205,128627919,India_04-05-2021
05-05-2021,India,159931238,8424665,58108,129730641,30200597,,,,15127348,144803890,,,67881167,61832097,17377,129730641,India_05-05-2021
06-05-2021,India,162603603,8708024,60671,131058890,31544713,,,,15424914,147178689,,,68616643,62424602,17645,131058890,India_06-05-2021
07-05-2021,India,165190000,8244108,57623,132294827,32895173,,,,15761911,149428089,,,69304346,62972623,17858,132294827,India_07-05-2021
08-05-2021,India,167493857,8362691,58214,133366482,34127375,,,,16195122,151298735,,,69899266,63449164,18052,133366482,India_08-05-2021
09-05-2021,India,168304868,5437733,39614,133854676,34450192,,,,16321015,151983853,,,70186220,63650307,18149,133854676,India_09-05-2021
10-05-2021,India,171098918,8215415,58011,135192013,35906905,,,,16727082,154371836,,,70948079,64225501,18433,135192013,India_10-05-2021
11-05-2021,India,173862643,7848368,56288,136557345,37305298,,,,17081853,156780790,,,71722365,64816275,18705,136557345,India_11-05-2021
12-05-2021,India,176045577,7572978,54605,137805245,38240332,,,,17459811,158585766,,,72431855,65354414,18976,137805245,India_12-05-2021
13-05-2021,India,178361846,7238072,52103,139087590,39274256,,,,17840229,160521617,,,73161834,65906538,19218,139087590,India_13-05-2021
14-05-2021,India,179646413,5861579,42398,139861462,39784951,,,,18087664,161558739,,,73607113,66234957,19392,139861462,India_14-05-2021
15-05-2021,India,181544536,7183448,51190,141132112,40412424,,,,18535310,163009216,,,74324379,66787921,19812,141132112,India_15-05-2021
16-05-2021,India,182251006,4278089,27979,141764335,40486671,,,,18695475,163555521,,,74693401,67050966,19968,141764335,India_16-05-2021
17-05-2021,India,183817204,8089861,48246,143090218,40726986,,,,19077536,164739599,,,75461311,67608590,20317,143090218,India_17-05-2021
18-05-2021,India,185191602,7311249,42755,144270200,40921402,,,,19407170,165784285,,,76142110,68107465,20625,144270200,India_18-05-2021
19-05-2021,India,186410600,6683984,40289,145333606,41076994,,,,19669911,166740487,,,76761977,68550747,20882,145333606,India_19-05-2021
20-05-2021,India,187886885,7547217,44986,146624652,41262233,,,,19986188,167900451,,,77512357,69091006,21289,146624652,India_20-05-2021
21-05-2021,India,189344105,7425242,42679,147893976,41450129,,,,20301735,169042095,275,,78248902,69623495,21579,147893976,India_21-05-2021
22-05-2021,India,190936859,8649098,49046,149302864,41633995,,,,20590582,170345955,322,,79056922,70224054,21888,149302864,India_22-05-2021
23-05-2021,India,191877460,5338956,30180,150180408,41697052,,,,20680782,171196318,360,,79574984,70583303,22121,150180408,India_23-05-2021
24-05-2021,India,194313920,9601152,51161,152439044,41874876,,,,20932868,173380665,387,,80889623,71526736,22685,152439044,India_24-05-2021
25-05-2021,India,196463495,9133572,46265,154384464,42079031,,,,21222896,175240154,445,,82032580,72328742,23142,154384464,India_25-05-2021
26-05-2021,India,198425615,9309344,44319,156189641,42235974,,,,21440904,176983511,1200,,83084097,73082037,23507,156189641,India_26-05-2021
27-05-2021,India,201438120,10482875,44427,159006359,42431761,,,,21732409,179703057,2654,,84683042,74299145,24172,159006359,India_27-05-2021
28-05-2021,India,204617572,11340655,44877,161951713,42665859,,,,22143306,182470401,3865,,86374510,75552353,24850,161951713,India_28-05-2021
29-05-2021,India,207796464,11069278,43049,164804095,42992369,,,,22748715,185041368,6381,,88027641,76750999,25455,164804095,India_29-05-2021
30-05-2021,India,208907723,5941306,22980,165823004,43084719,,,,22948962,185950671,8090,,88619604,77177776,25624,165823004,India_30-05-2021
31-05-2021,India,211778491,10623839,42783,168393525,43384966,,,,23442881,188324712,10898,,90095606,78271582,26337,168393525,India_31-05-2021
01-06-2021,India,214314522,9930062,38044,170640412,43674110,,,,23905095,190396381,13046,,91381749,79231870,26793,170640412,India_01-06-2021
02-06-2021,India,216858197,10324274,38535,172945950,43912247,,,,24376613,192467399,14185,,92705952,80212651,27347,172945950,India_02-06-2021
03-06-2021,India,219831571,11534619,41239,175677634,44153937,,,,25012565,194803940,15066,,94288015,81361633,27986,175677634,India_03-06-2021
04-06-2021,India,223642281,13131165,46141,179205337,44436944,,,,25581498,198045267,15516,,96289872,82885972,29493,179205337,India_04-06-2021
05-06-2021,India,227162503,12775190,45548,182451348,44711155,,,,26213604,200932620,16279,,98143570,84277549,30229,182451348,India_05-06-2021
06-06-2021,India,228624578,7228531,24346,183824958,44799620,,,,26450908,202156935,16735,,98907905,84886553,30500,183824958,India_06-06-2021
07-06-2021,India,232063488,12625429,45459,186933771,45129717,,,,27031124,205014564,17800,,100656406,86246094,31271,186933771,India_07-06-2021
08-06-2021,India,234952618,11506400,41121,189503126,45449492,,,,27571289,207362449,18880,,102100803,87370490,31833,189503126,India_08-06-2021
09-06-2021,India,238440129,11932713,42274,192669299,45770830,,,,28196184,210223401,20544,,103888483,88748112,32704,192669299,India_09-06-2021
10-06-2021,India,241846863,12035310,42414,195747476,46099387,,,,28814428,213010415,22020,,105607170,90106724,33582,195747476,India_10-06-2021
11-06-2021,India,245411955,12044221,42704,198977594,46434361,,,,29426682,215962153,23120,,107385721,91557487,34386,198977594,India_11-06-2021
12-06-2021,India,249033094,12844959,42982,202207183,46825911,,,,29975845,219032482,24767,,109174763,92997290,35130,202207183,India_12-06-2021
13-06-2021,India,250656362,7549518,22768,203705131,46951231,,,,30185294,220445754,25314,,109979462,93690273,35396,203705131,India_13-06-2021
14-06-2021,India,254653040,14048206,46924,207274441,47378599,,,,30779165,223847280,26595,,111868784,95369557,36100,207274441,India_14-06-2021
15-06-2021,India,257605528,11834657,41484,209816439,47789089,,,,31248316,226329536,27676,,113266182,96513504,36753,209816439,India_15-06-2021
16-06-2021,India,261118468,14252163,44447,212945352,48173116,,,,31695663,229393676,29129,,114978703,97929255,37394,212945352,India_16-06-2021
17-06-2021,India,264537245,13293750,42886,215944608,48592637,,,,32252129,232253523,31593,,116630688,99275854,38066,215944608,India_17-06-2021
18-06-2021,India,267951571,12991192,42760,218956863,48994708,,,,32765846,235151645,34080,,118293011,100624989,38863,218956863,India_18-06-2021
19-06-2021,India,271833642,14175307,43724,222316897,49516745,,,,33243363,238552905,37374,,120139375,102137801,39721,222316897,India_19-06-2021
20-06-2021,India,275018693,12736409,24766,225211708,49806985,,,,33448885,241530408,39400,,121366817,103804672,40219,225211708,India_20-06-2021
21-06-2021,India,283891764,35010311,68061,233288807,50602957,,,,34123378,249725103,43283,,125704054,107542051,42702,233288807,India_21-06-2021
22-06-2021,India,289961746,23436266,54639,238685516,51276230,,,,34641890,255272448,47408,,128567271,110074369,43876,238685516,India_22-06-2021
23-06-2021,India,296892521,27105115,59462,244944880,51947641,,,,35392947,261448717,50857,,131919150,112980429,45301,244944880,India_23-06-2021
24-06-2021,India,303426850,26458510,56282,250656880,52769970,,,,36139047,267233899,53904,,134941971,115668447,46462,250656880,India_24-06-2021
25-06-2021,India,309802519,27953093,55202,256135000,53667519,166996837,142754166,51516,37027773,272716628,58118,,,,,,India_25-06-2021
26-06-2021,India,316535775,29924071,55142,261705883,54829892,170558604,145924320,52851,37908285,278562444,65046,,,,,,India_26-06-2021
27-06-2021,India,318473492,14362704,23886,263289938,55183554,171570354,146849924,53214,38254587,280151800,67105,,,,,,India_27-06-2021
28-06-2021,India,323836329,25874790,48855,267485789,56350540,174328759,149453113,54457,39047840,284716017,72472,,,,,,India_28-06-2021
29-06-2021,India,327685422,20606418,39263,270392224,57293198,176271011,151359083,55328,39657631,287949744,78047,,,,,,India_29-06-2021
30-06-2021,India,330553623,18568866,33381,272487181,58066442,177750688,152746870,56065,40307832,290158311,87480,,,,,,India_30-06-2021
01-07-2021,India,334913220,20310004,40094,275842378,59070842,180022023,154834173,57024,40927453,293891479,94288,,,,,,India_01-07-2021
02-07-2021,India,339447068,20812325,40091,279132514,60314554,182375868,157013277,57923,41530884,297814896,101288,,,,,,India_02-07-2021
03-07-2021,India,346054022,26140934,48778,283527017,62527005,185856473,160138342,59207,42506166,303438000,109856,,,,,,India_03-07-2021
04-07-2021,India,347766247,12321517,19122,284750483,63015764,186748495,160958198,59554,42729197,304924760,112290,,,,,,India_04-07-2021
05-07-2021,India,352412289,20486897,42139,287588808,64823481,189175605,163176110,60574,43442864,308849054,120371,,,,,,India_05-07-2021
06-07-2021,India,356192949,17691841,35607,290132865,66060084,191160373,164971125,61451,44018800,312045416,128733,,,,,,India_06-07-2021
07-07-2021,India,359728245,17449073,33655,292326546,67401699,193027060,166638938,62247,44518708,315072183,137354,,,,,,India_07-07-2021
08-07-2021,India,363866177,18408867,37073,295113298,68752879,195194201,168608604,63372,45082427,318636397,147353,,,,,,India_08-07-2021
09-07-2021,India,367079052,15830443,31342,297184419,69894633,196883902,170130738,64412,45476306,321441373,161373,,,,,,India_09-07-2021
10-07-2021,India,370921397,15975055,32091,299620148,71301249,198911398,171944765,65234,46016442,324725183,179772,,,,,,India_10-07-2021
11-07-2021,India,372249777,8835173,14717,300474970,71774807,199593430,172590906,65441,46227004,325834486,188287,,,,,,India_11-07-2021
12-07-2021,India,376350562,17301046,35603,303057816,73292746,201700141,174584012,66409,46822284,329322624,205654,,,,,,India_12-07-2021
13-07-2021,India,380212639,15468942,33126,305477371,74735268,203712414,176432842,67383,47230844,332757295,224500,,,,,,India_13-07-2021
14-07-2021,India,386288141,14758731,31235,310042014,76246127,206783170,179436493,68478,47878858,338166245,243038,,,,,,India_14-07-2021
15-07-2021,India,390286930,16084911,35258,312624872,77662058,208881920,181335624,69386,48322223,341703521,261186,,,,,,India_15-07-2021
16-07-2021,India,394641704,16935747,37143,315177274,79464430,211136743,183434678,70283,48832941,345528530,280233,,,,,,India_16-07-2021
17-07-2021,India,399873648,18405270,39857,318403675,81469973,213861867,185940424,71357,49284948,350286122,302578,,,,,,India_17-07-2021
18-07-2021,India,401441969,9120348,16236,319469878,81972091,214657889,186712441,71639,49377691,351756263,308015,,,,,,India_18-07-2021
19-07-2021,India,406790133,19017782,42026,322905680,83884453,217407550,189309762,72821,49702746,356765200,322187,,,,,,India_19-07-2021
20-07-2021,India,410430826,14830467,33503,325242678,85188148,219282113,191075012,73701,50023562,360070547,336717,,,,,,India_20-07-2021
21-07-2021,India,412817034,11772741,23842,326792911,86024123,220516550,192226247,74237,50204520,362262299,350215,,,,,,India_21-07-2021
22-07-2021,India,418366838,18416197,41363,330465663,87901175,223376425,194914788,75625,50586096,367417104,363638,,,,,,India_22-07-2021
23-07-2021,India,422845298,16337977,37521,333352959,89492339,225676609,197091984,76705,51020810,371447023,377465,,,,,,India_23-07-2021
24-07-2021,India,428109930,18476847,40423,336917806,91192124,228432995,199598934,78001,51538610,376177250,394070,,,,,,India_24-07-2021
25-07-2021,India,430170531,10784124,19973,338346937,91823594,229530717,200561391,78423,51767129,378003458,399944,,,,,,India_25-07-2021
26-07-2021,India,436861480,22339305,46007,343039824,93821656,232940580,203840892,80008,52419879,384030365,411236,,,,,,India_26-07-2021
27-07-2021,India,441128674,16549712,38079,345867755,95260919,235125348,205922411,80915,52894031,387811369,423274,,,,,,India_27-07-2021
28-07-2021,India,445696580,0,0,349104325,96592255,237477784,208136635,82161,53408734,391853470,434376,,,,,,India_28-07-2021
29-07-2021,India,450997892,20051908,43876,352679959,98317933,240211089,210703313,83490,54031515,396521739,444638,,,,,,India_29-07-2021
30-07-2021,India,456471250,20918871,45339,356348903,100122347,242983261,213403098,84891,54580577,401434035,456638,,,,,,India_30-07-2021
31-07-2021,India,463113439,22141942,47334,361264651,101848788,246409497,216617587,86541,55439978,407198907,474554,,,,,,India_31-07-2021
01-08-2021,India,467769865,9847327,20066,365110984,102658881,248763622,218919118,87125,56043444,411243920,482501,,,,,,India_01-08-2021
02-08-2021,India,473977156,22612516,47979,369654820,104322336,251922714,221965874,88568,56851465,416629951,495740,,,,,,India_02-08-2021
03-08-2021,India,480643928,23639645,47616,375040194,105603734,255277644,225275770,90514,57595129,422539027,509772,,,,,,India_03-08-2021
04-08-2021,India,484911273,17215840,35467,378269912,106641361,257443333,227376100,91840,58451360,425936633,523280,,,,,,India_04-08-2021
05-08-2021,India,490760938,22435536,48656,382658786,108102152,260416391,230251149,93398,59350900,430872848,537190,,,,,,India_05-08-2021
06-08-2021,India,500087070,20015484,41826,390344882,109742188,263310052,233084386,94678,60386946,435549916,552254,,,,,,India_06-08-2021
07-08-2021,India,505787038,22675183,46089,394599261,111187777,266234950,235857946,96188,61266355,440351772,570957,,,,,,India_07-08-2021
08-08-2021,India,507727903,10353120,18971,395961470,111766433,267236380,236796948,96621,61524134,442029168,576647,,,,,,India_08-08-2021
09-08-2021,India,513228400,21978176,46163,400150406,113077994,270163622,239518609,98275,62367416,446825051,588039,,,,,,India_09-08-2021
10-08-2021,India,,,,,,,,,,,,,,,,,India_10-08-2021
11-08-2021,India,,,,,,,,,,,,,,,,,India_11-08-2021
12-08-2021,India,,,,,,,,,,,,,,,,,India_12-08-2021
13-08-2021,India,,,,,,,,,,,,,,,,,India_13-08-2021
14-08-2021,India,,,,,,,,,,,,,,,,,India_14-08-2021
15-08-2021,India,,,,,,,,,,,,,,,,,India_15-08-2021
16-01-2021,Andaman and Nicobar Islands,23,2,2,23,0,12,11,0,0,23,,,,,,23,Andaman and Nicobar Islands_16-01-2021
17-01-2021,Andaman and Nicobar Islands,23,2,2,23,0,12,11,0,0,23,,,,,,23,Andaman and Nicobar Islands_17-01-2021
18-01-2021,Andaman and Nicobar Islands,42,9,2,42,0,29,13,0,0,42,,,,,,42,Andaman and Nicobar Islands_18-01-2021
19-01-2021,Andaman and Nicobar Islands,89,12,2,89,0,53,36,0,0,89,,,,,,89,Andaman and Nicobar Islands_19-01-2021
20-01-2021,Andaman and Nicobar Islands,124,16,3,124,0,67,57,0,0,124,,,,,,124,Andaman and Nicobar Islands_20-01-2021
21-01-2021,Andaman and Nicobar Islands,239,22,6,239,0,110,129,0,0,239,,,,,,239,Andaman and Nicobar Islands_21-01-2021
